Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
OLDUNIT,RCT31179OU,841901-5018S-OU,841901-5018S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31179R,841901-5018S,BMW M5 4.4d 519hp 2017> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31179REB,841901-5018S-REB,BMW M5 4.4d 519hp 2017> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31180BNU,841902-5019S-BNU,BMW M5 4.4d 591hp 2017> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31180BNU-OEM,841902-5019S-BNU-OEM,BMW M5 4.4d 591hp 2017> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31180OU,841902-5019S-OU,841902-5019S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31180R,841902-5019S,BMW M5 4.4d 591hp 2017> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31180REB,841902-5019S-REB,BMW M5 4.4d 591hp 2017> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31181BNU,842127-5001S-BNU,Toyota Various 4.5d 2007> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31181BNU-OEM,842127-5001S-BNU-OEM,Toyota Various 4.5d 2007> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31181OU,842127-5001S-OU,842127-5001S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31181R,842127-5001S,Toyota Various 4.5d 2007> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31181REB,842127-5001S-REB,Toyota Various 4.5d 2007> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31182BNU,842541-5005S-BNU,Doosan Telehandler 3.4d 133hp 2017> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31182BNU-OEM,842541-5005S-BNU-OEM,Doosan Telehandler 3.4d 133hp 2017> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31182OU,842541-5005S-OU,842541-5005S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31182R,842541-5005S,Doosan Telehandler 3.4d 133hp 2017> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31182REB,842541-5005S-REB,Doosan Telehandler 3.4d 133hp 2017> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31183BNU,843059-5004S-BNU,Vauxhall Astra 1.6d 158hp 2016> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31183BNU-OEM,843059-5004S-BNU-OEM,Vauxhall Astra 1.6d 158hp 2016> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31183OU,843059-5004S-OU,843059-5004S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31183R,843059-5004S,Vauxhall Astra 1.6d 158hp 2016> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31183REB,843059-5004S-REB,Vauxhall Astra 1.6d 158hp 2016> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31184BNU,843137-5002S-BNU,BMW 125d 2.0d 224hp 2017> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31184BNU-OEM,843137-5002S-BNU-OEM,BMW 125d 2.0d 224hp 2017> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31184OU,843137-5002S-OU,843137-5002S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31184R,843137-5002S,BMW 125d 2.0d 224hp 2017> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31184REB,843137-5002S-REB,BMW 125d 2.0d 224hp 2017> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31185BNU,843351-5008S-BNU,Various Marine 3.0d 268hp 2018> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31185BNU-OEM,843351-5008S-BNU-OEM,Various Marine 3.0d 268hp 2018> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31185OU,843351-5008S-OU,843351-5008S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
